AnnAik,A52,Mineral Resources
AnnAik R,GMJR,
AnnAik R1,ZK0R,
Annica,5AL,Energy - Fossil Fuels
Aoxin Q & M,1D4,Healthcare Services
AP Oil,5AU,Energy - Fossil Fuels
APAC Realty,CLN,Real Estate
ARA HTrust USD,XZL,Real Estate
Arion Ent,YYB,Cyclical Consumer Services
Artivision Tech,5NK,Software & IT Services
Ascendas Reit,A17U,Real Estate
Ascendas-hTrust,Q1P,Real Estate
Ascendas-iTrust,CY6U,Real Estate
Ascott Reit,A68U,Real Estate
Asia Enterprises,A55,Mineral Resources
Asia Fashion,BQI,Cyclical Consumer Products
Asia Vets,5RE,Technology Equipment
AsiaMedic,505,Healthcare Services
Asian Healthcare,1J3,Healthcare Services
Asian Micro,585,Industrial & Commercial Services
Asian Pay Tv Tr,S7OU,Cyclical Consumer Services
AsiaPhos,5WV,Chemicals
Asiatic,5CR,Industrial Goods
Asiatravel.com,5AM,Software & IT Services
ASL Marine,A04,Industrial Goods
Aspen,1F3,Real Estate
Aspial,A30,Real Estate
Astaka,42S,Real Estate
ASTI,575,Industrial Goods
Atlantic Nav,5UL,Mineral Resources
Attilan,5ET,Banking & Investment Services
AusGroup,5GJ,Energy - Fossil Fuels
Avarga,U09,Applied Resources
Avi-Tech,BKY,Technology Equipment
AVIC,O2I,Industrial & Commercial Services
AVJennings A$,A05,Real Estate
Axcelasia,42U,Industrial & Commercial Services
Ayondo,1I5,Banking & Investment Services
Azeus,BBW,Software & IT Services
B&M Hldg,CJN,Banking & Investment Services
Baker Technology,BTP,Energy - Fossil Fuels
Ban Leong,B26,Technology Equipment
Banyan Tree,B58,Cyclical Consumer Services
